  h1       7.49762465D-01
  he3      7.53546143D-05
  he4      2.50000000D-01
  li7      1.04716867D-09
  be7      0.00000000D+00
  b8       0.00000000D+00
  c12      1.51104570D-05
  c13      1.83106724D-07
  n13      0.00000000D+00
  n14      4.46744946D-06
  n15      1.09863651D-08
  o16      9.28993879D-05
  o17      1.49284741D-08
  o18      8.34122408D-08
  f19      3.26347949D-09
  ne20     1.88007181D-05
  ne21     1.88391701D-08
  ne22     6.05384500D-07
  na21     0.00000000D+00
  na22     0.00000000D+00
  na23     1.89084149D-07
  mg24     8.96831064D-06
  mg25     1.18268012D-06
  mg26     1.35421604D-06
  al25     0.00000000D+00
  al26     0.00000000D+00
  al27     3.59990509D-07
  si27     0.00000000D+00
  si28     9.93015699D-06
  fe56     7.68670689D-06
  ni58     3.09995259D-07
