  h1       7.49200773D-01
  he3      7.53546143D-05
  he4      2.50000000D-01
  li7      1.04636462D-09
  be7      0.00000000D+00
  b8       0.00000000D+00
  c12      6.74441063D-05
  c13      8.17279677D-07
  n13      0.00000000D+00
  n14      1.99400413D-05
  n15      4.90366095D-08
  o16      4.14647697D-04
  o17      6.66318428D-08
  o18      3.72302707D-07
  f19      1.45662344D-08
  ne20     8.39152403D-05
  ne21     8.40868675D-08
  ne22     2.70207689D-06
  na21     0.00000000D+00
  na22     0.00000000D+00
  na23     8.43959350D-07
  mg24     4.00292127D-05
  mg25     5.27878169D-06
  mg26     6.04441619D-06
  al25     0.00000000D+00
  al26     0.00000000D+00
  al27     1.60678385D-06
  si27     0.00000000D+00
  si28     4.43223236D-05
  fe56     3.43088946D-05
  ni58     1.38363474D-06
